uuid,host,port,accuracy,loss,round,timestamp,session_uuid
56f969a0-12d1-46e9-ac27-6706e6a5fbfb,localhost,1883,0.9236666560173035,0.24574553966522217,3,2023-07-14 20:04:36.997725,dd2bdfce-0c42-4360-9886-7ca3ce305375
7c4635c3-5948-4889-8f9a-ea35919d96e2,localhost,1883,0.9253333210945129,0.23221449553966522,3,2023-07-14 20:04:37.046712,dd2bdfce-0c42-4360-9886-7ca3ce305375
6ee40a05-c191-4e06-a5f0-05c934558f13,localhost,1883,0.9423333406448364,0.20178835093975067,4,2023-07-14 20:04:44.227349,dd2bdfce-0c42-4360-9886-7ca3ce305375
f2252504-27b9-4ddb-b254-83627a2c684c,localhost,1883,0.9369999766349792,0.2150232344865799,4,2023-07-14 20:04:44.235356,dd2bdfce-0c42-4360-9886-7ca3ce305375
76a83e36-3488-4ac0-a9e9-1f5aff89a062,localhost,1883,0.934333324432373,0.20817241072654724,4,2023-07-14 20:04:44.386531,dd2bdfce-0c42-4360-9886-7ca3ce305375
56f969a0-12d1-46e9-ac27-6706e6a5fbfb,localhost,1883,0.949999988079071,0.1851622313261032,4,2023-07-14 20:04:44.531999,dd2bdfce-0c42-4360-9886-7ca3ce305375
9f3121fd-7d4d-4d7a-9cb2-0468d63b6f52,localhost,1883,0.9409999847412109,0.1868722289800644,4,2023-07-14 20:04:44.692504,dd2bdfce-0c42-4360-9886-7ca3ce305375
7c4635c3-5948-4889-8f9a-ea35919d96e2,localhost,1883,0.937333345413208,0.2109491229057312,4,2023-07-14 20:04:45.497320,dd2bdfce-0c42-4360-9886-7ca3ce305375
00bf3ee2-fb7b-45df-bc9b-2b061ec95402,localhost,1883,0.9380000233650208,0.2191898673772812,4,2023-07-14 20:04:46.081298,dd2bdfce-0c42-4360-9886-7ca3ce305375
89c3ec5c-8f98-4166-9e77-cc1409f82b34,localhost,1883,0.9459999799728394,0.19545231759548187,4,2023-07-14 20:04:46.185294,dd2bdfce-0c42-4360-9886-7ca3ce305375
6ee40a05-c191-4e06-a5f0-05c934558f13,localhost,1883,0.9516666531562805,0.15540985763072968,5,2023-07-14 20:04:53.941093,dd2bdfce-0c42-4360-9886-7ca3ce305375
f2252504-27b9-4ddb-b254-83627a2c684c,localhost,1883,0.9440000057220459,0.18205372989177704,5,2023-07-14 20:04:53.966081,dd2bdfce-0c42-4360-9886-7ca3ce305375
76a83e36-3488-4ac0-a9e9-1f5aff89a062,localhost,1883,0.9419999718666077,0.1712135225534439,5,2023-07-14 20:04:54.090477,dd2bdfce-0c42-4360-9886-7ca3ce305375
1cafe96d-5f23-4bae-b3b3-15ae27f1a35d,localhost,1883,0.9536666870117188,0.147243931889534,5,2023-07-14 20:04:54.104475,dd2bdfce-0c42-4360-9886-7ca3ce305375
